iter	Passed	Remaining
148	43789	397047
149	43965	395691
150	44092	393914
151	44245	392390
152	44398	390877
153	44540	389292
154	44706	387939
155	44745	385499
156	44871	383840
157	45009	382293
158	45164	380913
159	45196	378518
160	45330	377005
161	45392	374907
162	45530	373460
163	45582	371327
164	45742	370097
165	45789	367971
166	45810	365664
167	45942	364254
168	46069	362834
169	46308	362293
170	46465	361125
171	46651	360195
172	46691	358148
173	46824	356833
174	46880	354950
175	47020	353722
176	47152	352442
177	47322	351459
178	47478	350389
179	47623	349235
180	47664	347342
181	47831	346385
182	48018	345573
183	48098	344005
184	48241	342908
185	48455	342317
186	48680	341808
187	48728	340064
188	48812	338587
189	49105	338567
190	49623	340090
191	50019	340754
192	50343	340929
193	50681	341184
194	50926	340813
195	51258	341028
196	51559	341024
197	51818	340747
198	52085	340520
199	52263	339709
200	52511	339366
201	52579	337862
202	52852	337680
203	53030	336902
204	53271	336522
205	53552	336391
206	53690	335373
207	54021	335558
208	54358	335771
209	54633	335603
210	54899	335381
211	55149	335057
212	55417	334849
213	55656	334460
214	56014	334785
215	56116	333583
216	56268	332681
217	56413	331751
218	56500	330491
219	56641	329550
220	56724	328281
221	56798	326974
222	56956	326160
223	57026	324847
224	57183	324041
225	57250	322727
226	57378	321774
227	57523	320920
228	57655	320003
229	57818	319255
230	57973	318479
231	58248	318355
232	58466	317924
233	58656	317344
234	58729	316137
235	58850	315201
236	58983	314329
237	59091	313335
238	59401	313409
239	59589	312843
240	59799	312395
241	59987	311838
242	60115	310967
243	60261	310199
244	60317	308975
245	60470	308254
246	60596	307400
247	60740	306643
248	60892	305928
249	60934	304674
250	61064	303864
251	61242	303293
252	61411	302687
253	61582	302094
254	61698	301232
255	61861	300607
256	62040	300062
257	62243	299638
258	62398	298981
259	62609	298598
260	62850	298358
261	63002	297699
262	63192	297220
263	63371	296693
264	63505	295960
265	63697	295500
266	63825	294745
267	64035	294371
268	64401	294713
269	64592	294255
270	64773	293749
271	64920	293096
272	65072	292468
273	65266	292033
274	65434	291479
275	65563	290760
276	65693	290047
277	65910	289720
278	66055	289082
279	66282	288801
280	66413	288105
281	66581	287575
282	66719	286917
283	66873	286332
284	67043	285816
285	67273	285560
286	67507	285318
287	67741	285077
288	68068	285226
289	68311	285025
290	68539	284755
291	68780	284545
292	68960	284078
293	69164	283715
294	69357	283308
295	69536	282845
296	69671	282204
297	69783	281476
298	69913	280821
299	70042	280168
300	70165	279494
301	70290	278835
302	70430	278234
303	70546	277543
304	70665	276868
305	70805	276281
306	70960	275751
307	71088	275122
308	71214	274487
309	71334	273833
310	71491	273322
311	71607	272659
312	71720	271986
313	71904	271589
314	72032	270979
315	72168	270402
316	72302	269822
317	72431	269225
318	72551	268601
319	72726	268178
320	72867	267634
321	72983	267001
322	73112	266418
323	73255	265891
324	73370	265263
325	73516	264750
326	73672	264275
327	73792	263671
328	73952	263217
329	74098	262713
330	74217	262116
331	74330	261499
332	74452	260919
333	74594	260412
334	74710	259814
335	74834	259247
336	74993	258803
337	75114	258233
338	75242	257687
339	75409	257279
340	75521	256683
341	75659	256182
342	75791	255657
343	75913	255105
344	76054	254615
345	76179	254079
346	76281	253465
347	76393	252890
348	76542	252435
349	76672	251923
350	76786	251359
351	76927	250888
352	77078	250450
353	77195	249903
354	77324	249400
355	77473	248958
356	77582	248393
357	77717	247913
358	77992	247882
359	78207	247656
360	78424	247440
361	78645	247234
362	78838	246938
363	79070	246770
364	79276	246518
365	79429	246102
366	79547	245577
367	79683	245114
368	79838	244708
369	80043	244456
370	80662	245465
371	80895	245294
372	81068	244943
373	81286	244729
374	81459	244378
375	81621	243996
376	81744	243497
377	81909	243127
378	82070	242748
379	82190	242246
380	82310	241745
381	82428	241244
382	82536	240713
383	82685	240305
384	82824	239868
385	82989	239508
386	83137	239101
387	83254	238607
388	83376	238127
389	83605	237954
390	83808	237708
391	84037	237535
392	84229	237256
393	84404	236933
394	84627	236742
395	84858	236575
396	85004	236170
397	85121	235688
398	85250	235238
399	85393	234831
400	85607	234620
401	85810	234377
402	86058	234258
403	86282	234072
404	86533	233960
405	86667	233532
406	86785	233061
407	86901	232588
408	87024	232136
409	87157	231712
410	87267	231226
411	87381	230754
412	87505	230312
413	87623	229853
414	87781	229501
415	87970	229230
416	88184	229026
417	88354	228706
418	88476	228266
419	88589	227801
420	88708	227356
421	88838	226938
422	89073	226789
423	89191	226344
424	89329	225951
425	89489	225613
426	89604	225166
427	89731	224748
428	89878	224382
429	90016	223995
430	90149	223595
431	90275	223181
432	90393	222748
433	90540	222387
434	90667	221978
435	90788	221556
436	90952	221240
437	91070	220813
438	91199	220417
439	91333	220031
440	91457	219621
441	91646	219370
442	91799	219033
443	91949	218689
444	92144	218454
445	92263	218039
446	92506	217918
447	92659	217584
448	92850	217340
449	93042	217098
450	93172	216714
451	93312	216352
452	93513	216134
453	93636	215735
454	93831	215503
455	93974	215151
456	94129	214829
457	94317	214581
458	94427	214158
459	94593	213864
460	94734	213512
461	94848	213101
462	94992	212759
463	95226	212618
464	95430	212409
465	95725	212404
466	95847	212013
467	96035	211770
468	96219	211519
469	96394	211247
470	96529	210889
471	96643	210487
472	96750	210069
473	96940	209832
474	97061	209448
475	97174	209047
476	97299	208674
477	97460	208377
478	97581	207998
479	97699	207611
480	97837	207269
481	97977	206931
482	98087	206532
483	98222	206185
484	98352	205830
485	98460	205430
486	98583	205062
487	98733	204749
488	98859	204391
489	99000	204061
490	99134	203721
491	99246	203333
492	99360	202952
493	99478	202580
494	99612	202242
495	99793	202000
496	99968	201747
497	100090	201387
498	100418	201441
499	100556	201112
500	100674	200746
501	100787	200369
502	100926	200046
503	101046	199687
504	101158	199312
505	101330	199055
506	101482	198761
507	101603	198406
508	101716	198037
509	101850	197709
510	102039	197488
511	102238	197288
512	102357	196934
513	102473	196574
514	102880	196770
515	103042	196500
516	103164	196152
517	103279	195791
518	103396	195436
519	103500	195058
520	103625	194721
521	103743	194370
522	103867	194032
523	103991	193694
524	104109	193346
525	104242	193026
526	104402	192758
527	104550	192467
528	104685	192153
529	104808	191818
530	104927	191478
531	105065	191172
532	105227	190910
533	105352	190581
534	105463	190229
535	105577	189881
536	105723	189593
537	105867	189302
538	105982	188958
539	106088	188601
540	106204	188262
541	106324	187931
542	106444	187601
543	106574	187289
544	106718	187002
545	106907	186794
546	107023	186459
547	107139	186125
548	107295	185862
549	107437	185573
550	107554	185244
551	107685	184938
552	107840	184673
553	107998	184415
554	108116	184091
555	108246	183784
556	108388	183502
557	108534	183225
558	108655	182906
559	108778	182592
560	108922	182313
561	109037	181988
562	109151	181660
563	109274	181349
564	109426	181086
565	109558	180790
566	109725	180553
567	109876	180289
568	110026	180025
569	110167	179747
570	110320	179488
571	110425	179151
572	110565	178873
573	110716	178611
574	110845	178316
575	110959	177996
576	111076	177684
577	111229	177428
578	111344	177112
579	111461	176801
580	111605	176533
581	111783	176318
582	111914	176030
583	112047	175745
584	112175	175454
585	112349	175234
586	112497	174974
587	112642	174710
588	112786	174445
589	112954	174218
590	113116	173980
591	113255	173709
592	113390	173431
593	113561	173209
594	113684	172915
595	113810	172625
596	113975	172395
597	114106	172113
598	114254	171859
599	114624	171936
600	114897	171869
601	115181	171815
602	115393	171654
603	115579	171456
604	115719	171188
605	115894	170972
606	116104	170809
607	116394	170763
608	116534	170496
609	116885	170538
610	117091	170367
611	117529	170533
612	117760	170397
613	117890	170116
614	118039	169861
615	118326	169806
616	118465	169538
617	118601	169266
618	118724	168976
619	118969	168860
620	119145	168645
621	119294	168393
622	119409	168093
623	119545	167823
624	119674	167544
625	119794	167252
626	119907	166952
627	120021	166653
628	120163	166394
629	120309	166142
630	120433	165858
631	120553	165569
632	120703	165323
633	120846	165067
634	120981	164801
635	121094	164505
636	121207	164210
637	121315	163909
638	121478	163682
639	121592	163390
640	121728	163127
641	121877	162882
642	122007	162613
643	122130	162334
644	122259	162065
645	122416	161831
646	122576	161603
647	122714	161347
648	122978	161255
649	123130	161017
650	123253	160740
651	123396	160491
652	123556	160263
653	123675	159983
654	123791	159700
655	123906	159416
656	124024	159136
657	124223	158961
658	124465	158840
659	124862	158915
660	125142	158841
661	125270	158575
662	125641	158614
663	126032	158680
664	126183	158440
665	126303	158163
666	126408	157869
667	126530	157594
668	126670	157344
669	126808	157090
670	127078	157001
671	127343	156905
672	127712	156936
673	128057	156937
674	128325	156841
675	128497	156630
676	128686	156439
677	128808	156166
678	128969	155941
679	129101	155680
680	129442	155672
681	129846	155739
682	130259	155815
683	130652	155865
684	131038	155907
685	131337	155843
686	131595	155731
687	131829	155589
688	131960	155326
689	132075	155044
690	132191	154765
691	132306	154485
692	132428	154213
693	132538	153927
694	132666	153664
695	132906	153530
696	133426	153718
697	133697	153618
698	133812	153338
699	133931	153064
700	134049	152790
701	134164	152512
702	134276	152230
703	134388	151950
704	134499	151669
705	134733	151526
706	134876	151282
707	134995	151011
708	135115	150742
709	135223	150460
710	135347	150195
711	135461	149920
712	135584	149656
713	135704	149389
714	135817	149114
715	135932	148842
716	136049	148572
717	136168	148306
718	136285	148037
719	136404	147771
720	136537	147521
721	136657	147257
722	136788	147004
723	136907	146740
724	137025	146475
725	137143	146210
726	137254	145938
727	137446	145754
728	137959	145907
729	138345	145926
730	138573	145777
731	138756	145580
732	138972	145418
733	139126	145191
734	139347	145035
735	139650	144962
736	139785	144716
737	139929	144480
738	140111	144282
739	140277	144068
740	140606	144022
741	140853	143890
742	141118	143778
743	141359	143639
744	141802	143705
745	142205	143730
746	142568	143713
747	142786	143550
748	142993	143375
749	143192	143192
750	143322	142940
751	143446	142683
752	143587	142443
753	143717	142192
754	143842	141937
755	143967	141682
756	144084	141419
757	144194	141150
758	144311	140889
759	144420	140619
760	144542	140363
761	144661	140105
762	144778	139844
763	144896	139585
764	145025	139338
765	145140	139077
766	145295	138854
767	145415	138599
768	145538	138346
769	145655	138088
770	145940	137990
771	146147	137817
772	146394	137683
773	146539	137452
774	146878	137402
775	147062	137207
776	147340	137100
777	147715	137083
778	147970	136953
779	148207	136806
780	148476	136689
781	148838	136657
782	149173	136599
783	149373	136418
784	149492	136161
785	149612	135907
786	149728	135649
787	149854	135401
788	149966	135140
789	150153	134947
790	150461	134863
791	150800	134806
792	150975	134602
793	151240	134477
794	151621	134456
795	151980	134415
796	152316	134352
797	152644	134281
798	152926	134169
799	153299	134136
800	153583	134025
801	153919	133959
802	154321	133950
803	154584	133819
804	154736	133592
805	155164	133603
806	155417	133462
807	155761	133400
808	156062	133299
809	156330	133170
810	156642	133078
811	156784	132842
812	156970	132642
813	157318	132580
814	157593	132455
815	157818	132288
816	157992	132079
817	158129	131838
818	158292	131620
819	158422	131375
820	158737	131282
821	159048	131185
822	159168	130932
823	159342	130722
824	159488	130490
825	159637	130261
826	159809	130050
827	160006	129860
828	160243	129702
829	160447	129518
830	160703	129375
831	160913	129194
832	161105	129000
833	161284	128795
834	161534	128647
835	161661	128400
836	161809	128171
837	161948	127935
838	162063	127680
839	162275	127501
840	162576	127393
841	162798	127222
842	163038	127065
843	163190	126839
844	163865	127020
845	164219	126950
846	164390	126738
847	164857	126753
848	165222	126690
849	165399	126482
850	165574	126272
851	165776	126083
852	166065	125960
853	166336	125823
854	166799	125831
855	168511	126777
856	168825	126668
857	169298	126678
858	170062	126903
859	170799	127106
860	171128	127004
861	171504	126937
862	171856	126851
863	173314	127579
864	174536	128128
865	175306	128342
866	175696	128276
867	175875	128056
868	176038	127825
869	176771	128006
870	177168	127944
871	177367	127737
872	177545	127515
873	177701	127278
874	177860	127043
875	178042	126824
876	178238	126616
877	178411	126392
878	178572	126158
879	178728	125922
880	178908	125703
881	179100	125491
882	179616	125508
883	180013	125439
884	180181	125211
885	180385	125007
886	180760	124922
887	181079	124797
888	181355	124643
889	181570	124447
890	181743	124222
891	181925	124002
892	182123	123794
893	182317	123584
894	182527	123384
895	182720	123173
896	182896	122950
897	183082	122734
898	183296	122537
899	183470	122313
900	183653	122095
901	183843	121882
902	184041	121675
903	184235	121464
904	184425	121251
905	184581	121016
906	184781	120810
907	184975	120600
908	185157	120383
909	185380	120191
910	185590	119991
911	185755	119763
912	185974	119569
913	186352	119477
914	186550	119270
915	186814	119104
916	187061	118927
917	187343	118773
918	187561	118577
919	187882	118447
920	188056	118224
921	188334	118066
922	188568	117880
923	189046	117847
924	189711	117928
925	190023	117789
926	190242	117593
927	190750	117574
928	191349	117610
929	191682	117482
930	191927	117300
931	192119	117085
932	192279	116851
933	192454	116626
934	192620	116396
935	192791	116169
936	192998	115963
937	193204	115758
938	193419	115557
939	193643	115362
940	193861	115163
941	194131	114995
942	194299	114766
943	194531	114575
944	194697	114346
945	194959	114173
946	195209	113992
947	195376	113763
948	195644	113593
949	195810	113363
950	196340	113345
951	196795	113281
952	197286	113238
953	197614	113099
954	197999	112994
955	198314	112848
956	198642	112709
957	198868	112512
958	199034	112281
959	199213	112057
960	199394	111835
961	199575	111612
962	199765	111395
963	199923	111160
964	200181	110981
965	200582	110881
966	200819	110689
967	200987	110460
968	201183	110245
969	201347	110014
970	201540	109799
971	201708	109569
972	201893	109350
973	202067	109124
974	202490	109033
975	202863	108914
976	203051	108696
977	203236	108475
978	203443	108267
979	203630	108048
980	203809	107825
981	203979	107598
982	204177	107385
983	204377	107173
984	204576	106961
985	204749	106735
986	204949	106523
987	205152	106313
988	205383	106118
989	205673	105952
990	205866	105737
991	206111	105548
992	206368	105366
993	206565	105153
994	206770	104943
995	206940	104716
996	207147	104508
997	207321	104283
998	207605	104114
999	207866	103933
1000	209787	104579
1001	210088	104415
1002	211194	104649
1003	211533	104502
1004	211728	104284
1005	212076	104140
1006	212259	103916
1007	212442	103692
1008	212696	103502
1009	212865	103271
1010	213031	103038
1011	213217	102816
1012	213378	102581
1013	213551	102353
1014	213703	102114
1015	213873	101884
1016	214039	101652
1017	214185	101412
1018	214371	101190
1019	214564	100971
1020	214735	100742
1021	214880	100501
1022	215064	100279
1023	215222	100044
1024	215410	99824
1025	215598	99604
1026	215776	99379
1027	215962	99157
1028	216134	98930
1029	216283	98692
1030	216449	98462
1031	216594	98222
1032	216762	97994
1033	216929	97765
1034	217080	97528
1035	217239	97296
1036	217397	97063
1037	217593	96847
1038	217733	96607
1039	217943	96398
1040	218105	96167
1041	218270	95938
1042	218440	95711
1043	218593	95477
1044	218740	95241
1045	218912	95015
1046	219093	94793
1047	219244	94559
1048	219421	94336
1049	219569	94101
1050	219770	93888
1051	219985	93682
1052	220321	93526
1053	220644	93365
1054	221060	93243
1055	221345	93065
1056	221529	92845
1057	223892	93535
1058	225077	93728
1059	226546	94038
1060	227184	94000
1061	227766	93937
1062	228186	93807
1063	229414	94008
1064	230569	94176
1065	231427	94220
1066	232375	94300
1067	232619	94093
1068	233174	94011
1069	233983	94030
1070	234426	93902
1071	235383	93977
1072	236060	93940
1073	239667	95063
1074	240974	95268
1075	241377	95115
1076	243064	95465
1077	243466	95308
1078	243793	95122
1079	244064	94913
1080	244312	94696
1081	244586	94489
1082	244863	94282
1083	245168	94086
1084	245414	93868
1085	245624	93636
1086	245832	93402
1087	246029	93165
1088	246162	92904
1089	246300	92645
1090	246424	92381
1091	246536	92112
1092	246670	91852
1093	246814	91596
1094	246934	91331
1095	247047	91064
1096	247162	90799
1097	247297	90540
1098	248195	90560
1099	248338	90304
1100	248456	90040
1101	248576	89776
1102	249021	89629
1103	249151	89369
1104	249682	89253
1105	249828	88998
1106	250625	88975
1107	250756	88715
1108	250923	88468
1109	251049	88206
1110	251170	87943
1111	251304	87685
1112	251431	87425
1113	251551	87162
1114	252047	87029
1115	252207	86781
1116	252345	86524
1117	252941	86425
1118	253078	86168
1119	253198	85906
1120	253337	85651
1121	254519	85747
1122	254697	85503
1123	254882	85263
1124	255116	85038
1125	255654	84915
1126	256065	84749
1127	256200	84491
1128	256372	84246
1129	256560	84006
1130	257478	84005
1131	258046	83888
1132	258467	83722
1133	258799	83527
1134	258988	83286
1135	259305	83087
1136	259466	82837
1137	259637	82591
1138	259795	82340
1139	259992	82102
1140	260145	81851
1141	260800	81756
1142	261238	81594
1143	261571	81398
1144	261902	81201
1145	262212	80997
1146	262537	80798
1147	263063	80660
1148	263333	80443
1149	263490	80192
1150	263668	79948
1151	263795	79688
1152	263964	79441
1153	264114	79188
1154	264258	78934
1155	264659	78756
1156	264798	78501
1157	265074	78286
1158	265378	78079
1159	265778	77900
1160	265922	77646
1161	266318	77466
1162	266447	77208
1163	266577	76950
1164	266783	76714
1165	267080	76504
1166	267507	76332
1167	267681	76087
1168	267807	75829
1169	268152	75632
1170	268614	75468
1171	269087	75307
1172	269295	75072
1173	269423	74814
1174	269589	74567
1175	269991	74385
1176	270153	74137
1177	270400	73912
1178	270524	73654
1179	270646	73395
1180	270759	73134
1181	270873	72874
1182	270983	72613
1183	271093	72352
1184	271213	72094
1185	271331	71836
1186	271441	71576
1187	271551	71316
1188	271675	71060
1189	271820	70810
1190	272087	70591
1191	272204	70334
1192	272389	70095
1193	272573	69855
1194	272801	69627
1195	273020	69396
1196	273226	69162
1197	273441	68930
1198	273662	68700
1199	273947	68486
1200	274213	68268
1201	274362	68020
1202	274599	67793
1203	274776	67552
1204	274955	67312
1205	275189	67086
1206	275446	66864
1207	275594	66617
1208	276050	66443
1209	276212	66199
1210	276432	65969
1211	276740	65760
1212	276862	65506
1213	277252	65316
1214	277399	65069
1215	277590	64832
1216	277743	64586
1217	277920	64346
1218	278083	64102
1219	278262	63863
1220	278414	63618
1221	278564	63372
1222	278711	63125
1223	278833	62874
1224	278946	62620
1225	279064	62368
1226	279190	62118
1227	279312	61867
1228	279496	61630
1229	279622	61380
1230	279833	61149
1231	280107	60932
1232	280237	60684
1233	280549	60474
1234	280680	60226
1235	280836	59984
1236	281289	59805
1237	281626	59601
1238	281788	59359
1239	281907	59109
1240	282220	58900
1241	282409	58664
1242	282562	58421
1243	282710	58178
1244	283041	57972
1245	283226	57736
1246	283544	57527
1247	283786	57303
1248	283996	57072
1249	284180	56836
1250	284299	56587
1251	284418	56338
1252	284546	56091
1253	284684	55847
1254	284936	55625
1255	285156	55396
1256	285335	55160
1257	285592	54939
1258	285772	54703
1259	286536	54578
1260	286907	54378
1261	287185	54160
1262	287887	54021
1263	288095	53789
1264	288426	53581
1265	288586	53340
1266	288757	53102
1267	288877	52854
1268	289039	52614
1269	289221	52378
1270	289339	52131
1271	289467	51885
1272	289589	51639
1273	289706	51392
1274	289818	51144
1275	289933	50897
1276	290046	50650
1277	290159	50403
1278	290268	50155
1279	290377	49908
1280	290495	49663
1281	290621	49419
1282	290734	49173
1283	290842	48926
1284	290955	48681
1285	291058	48434
1286	291168	48188
1287	291280	47943
1288	291393	47699
1289	291504	47454
1290	291669	47218
1291	291790	46975
1292	291948	46738
1293	292100	46501
1294	292248	46263
1295	292366	46020
1296	292532	45785
1297	292661	45545
1298	292795	45305
1299	292955	45070
1300	293147	44839
1301	293330	44607
1302	293539	44380
1303	293736	44150
1304	293855	43909
1305	294087	43685
1306	294211	43445
1307	294397	43214
1308	294528	42975
1309	294693	42741
1310	294807	42500
1311	296057	42422
1312	296210	42186
1313	296342	41947
1314	296510	41714
1315	297081	41537
1316	297203	41297
1317	297415	41069
1318	297552	40831
1319	297673	40591
1320	297909	40367
1321	298310	40165
1322	298608	39949
1323	298921	39735
1324	299069	39499
1325	299458	39295
1326	299883	39095
1327	300598	38933
1328	300733	38694
1329	301244	38504
1330	301651	38301
1331	302108	38103
1332	302367	37881
1333	302643	37660
1334	302855	37431
1335	303151	37213
1336	303288	36975
1337	303402	36734
1338	303539	36497
1339	303751	36268
1340	303945	36038
1341	304137	35807
1342	304252	35567
1343	304373	35329
1344	304580	35100
1345	304841	34877
1346	305013	34645
1347	305187	34412
1348	305379	34182
1349	305524	33947
1350	305643	33709
1351	305848	33480
1352	306076	33254
1353	306335	33031
1354	306461	32794
1355	306581	32557
1356	306691	32318
1357	306826	32083
1358	306988	31850
1359	307109	31614
1360	307226	31377
1361	307355	31141
1362	307581	30916
1363	307809	30690
1364	308034	30464
1365	308164	30229
1366	308309	29996
1367	308441	29761
1368	308554	29525
1369	308863	29308
1370	309647	29135
1371	312027	29110
1372	312921	28944
1373	313490	28748
1374	313955	28541
1375	315493	28431
1376	316619	28281
1377	317244	28086
1378	318047	27907
1379	318399	27686
1380	318970	27485
1381	319489	27279
1382	319867	27060
1383	320365	26851
1384	320785	26635
1385	321011	26403
1386	321254	26172
1387	321419	25935
1388	321574	25698
1389	321717	25459
1390	321862	25221
1391	321999	24982
1392	322169	24746
1393	322308	24508
1394	322448	24270
1395	322639	24036
1396	322794	23799
1397	323029	23568
1398	323699	23369
1399	324276	23162
1400	324457	22927
1401	324785	22702
1402	325036	22472
1403	325267	22240
1404	325490	22008
1405	325695	21774
1406	325895	21541
1407	326124	21309
1408	326272	21072
1409	326400	20834
1410	326616	20601
1411	326766	20365
1412	326886	20126
1413	327023	19889
1414	327180	19653
1415	327320	19417
1416	327510	19183
1417	327649	18947
1418	327809	18712
1419	327942	18475
1420	328065	18238
1421	328252	18005
1422	328373	17768
1423	328483	17531
1424	328797	17305
1425	329129	17079
1426	329259	16843
1427	329382	16607
1428	329599	16376
1429	329726	16140
1430	329859	15905
1431	330136	15676
1432	330527	15453
1433	330692	15220
1434	330877	14987
1435	331058	14754
1436	331193	14519
1437	331363	14286
1438	331511	14052
1439	331724	13821
1440	331853	13587
1441	331983	13352
1442	332132	13119
1443	332269	12885
1444	332402	12651
1445	332518	12417
1446	332660	12184
1447	332781	11950
1448	332915	11717
1449	333084	11485
1450	333232	11253
1451	333374	11020
1452	333614	10791
1453	333937	10564
1454	334142	10334
1455	334339	10103
1456	334545	9873
1457	334669	9640
1458	334791	9408
1459	334908	9175
1460	335079	8944
1461	335199	8712
1462	335331	8480
1463	335472	8249
1464	335596	8017
1465	335717	7786
1466	335893	7555
1467	336046	7325
1468	336167	7094
1469	336346	6864
1470	336576	6635
1471	336719	6404
1472	336837	6174
1473	336965	5943
1474	337182	5714
1475	337376	5485
1476	337511	5255
1477	337663	5026
1478	337815	4796
1479	338153	4569
1480	341139	4376
1481	341829	4151
1482	343849	3941
1483	345021	3719
1484	345585	3490
1485	346421	3263
1486	347028	3033
1487	347671	2803
1488	348210	2572
1489	348934	2341
1490	349696	2110
1491	350220	1877
1492	351649	1648
1493	352720	1416
1494	353351	1181
1495	353837	946
1496	354974	711
1497	355372	474
1498	356246	237
1499	356578	0
