iter	R2	RMSE
71	0.5511634636	0.3854290787
72	0.5520858442	0.3850328374
73	0.5536135477	0.3843756596
74	0.554572373	0.3839626237
75	0.5565517097	0.3831085709
76	0.5575629251	0.3826715116
77	0.5589222844	0.3820831926
78	0.5599119861	0.3816542878
79	0.5608885694	0.381230595
80	0.5623989258	0.3805743948
81	0.5633242848	0.3801717971
82	0.5646410141	0.3795981893
83	0.566156284	0.3789370164
84	0.5673054827	0.3784348048
85	0.5683366313	0.3779836144
86	0.5694487229	0.377496402
87	0.5709731676	0.3768275122
88	0.57185101	0.3764417967
89	0.5723826422	0.3762080104
90	0.573245209	0.3758283856
91	0.5739212374	0.37553059
92	0.5743117221	0.375358471
93	0.5746956274	0.375189175
94	0.5748690933	0.3751126543
95	0.5757193211	0.3747373689
96	0.5762914813	0.3744846092
97	0.5767116844	0.3742988699
98	0.5774044029	0.3739924713
99	0.5780105588	0.3737241544
100	0.5787267364	0.3734068875
101	0.5795623225	0.3730363816
102	0.579758021	0.372949554
103	0.5807139289	0.3725251457
104	0.5813818093	0.37222833
105	0.5824703664	0.3717440515
106	0.5836497479	0.371218654
107	0.5842603944	0.3709463273
108	0.5853892113	0.3704423879
109	0.5864323494	0.3699760881
110	0.5871629539	0.3696491455
111	0.5876400983	0.3694354692
112	0.5884014423	0.3690942656
113	0.5889427456	0.3688514833
114	0.5892085166	0.3687322227
115	0.5899913367	0.36838072
116	0.5906267069	0.3680951786
117	0.5910027826	0.3679260622
118	0.591112082	0.3678768971
119	0.5915908711	0.3676614505
120	0.5923668086	0.367312024
121	0.5928975122	0.3670728417
122	0.5930886759	0.3669866481
123	0.5936044676	0.3667539823
124	0.5944780057	0.3663596055
125	0.595264878	0.366003992
126	0.5954176804	0.3659348955
127	0.5965486559	0.3654230676
128	0.596717048	0.3653467997
129	0.5967299422	0.365340959
130	0.5973796746	0.3650465291
131	0.5973883243	0.3650426078
132	0.598229771	0.3646609441
133	0.5990080128	0.3643075929
134	0.5990556208	0.364285966
135	0.5995315242	0.364069706
136	0.5996154835	0.3640315399
137	0.6000342923	0.3638410986
138	0.6003634807	0.3636913396
139	0.6004496268	0.3636521386
140	0.6014204471	0.3632100723
141	0.601562189	0.3631454846
142	0.6025623331	0.3626894209
143	0.6030008542	0.3624892752
144	0.6032170418	0.3623905642
145	0.6036826489	0.3621778772
146	0.6038052117	0.3621218704
147	0.6043464797	0.3618744265
148	0.604672372	0.3617253612
149	0.6048557131	0.3616414728
150	0.606105042	0.3610693187
151	0.6065503763	0.3608651501
152	0.6067101713	0.360791862
153	0.6068347229	0.3607347276
154	0.6074778251	0.3604395792
155	0.6075984304	0.3603842011
156	0.6080274921	0.3601871206
157	0.6084067088	0.3600128456
158	0.6089497092	0.3597631543
159	0.608960206	0.3597583257
160	0.6097499142	0.3593948746
161	0.6098637777	0.3593424404
162	0.6102397244	0.3591692622
163	0.6102554736	0.3591620056
164	0.6114025724	0.358633072
165	0.6114119971	0.358628723
166	0.6114223625	0.3586239399
167	0.6118644691	0.3584198685
168	0.6125830407	0.358087936
169	0.6131686104	0.3578172138
170	0.6140532425	0.3574078393
171	0.6145578884	0.357174098
172	0.6145671431	0.35716981
173	0.6145917829	0.3571583933
174	0.6146604529	0.3571265736
175	0.6149542974	0.3569903824
176	0.6151002486	0.3569227176
177	0.615426078	0.3567716126
178	0.6159954892	0.3565073916
179	0.6164694984	0.3562872901
180	0.616482228	0.3562813773
181	0.616834164	0.3561178686
182	0.6170963134	0.3559960257
183	0.6171753307	0.3559592915
184	0.617256196	0.3559216943
185	0.617560506	0.355780174
186	0.6180723093	0.3555420312
187	0.618179637	0.3554920712
188	0.6182551892	0.3554568982
189	0.6188166026	0.3551954255
190	0.6198021204	0.3547359643
191	0.620414198	0.354450306
192	0.6208807143	0.3542324268
193	0.6209905965	0.3541810885
194	0.6210914039	0.3541339836
195	0.6218215585	0.353792612
196	0.6222063992	0.3536125535
197	0.6229141192	0.3532811874
198	0.6237297114	0.3528989279
199	0.6238646983	0.352835621
200	0.6241348606	0.3527088846
201	0.6242322183	0.3526632018
202	0.6251626131	0.3522263371
203	0.6254300286	0.3521006725
204	0.6255330936	0.352052228
205	0.6256381128	0.352002858
206	0.6256447417	0.3519997415
207	0.6260021399	0.3518316737
208	0.6261139405	0.3517790826
209	0.6263775242	0.3516550614
210	0.6267636717	0.3514732926
211	0.6274749429	0.351138234
212	0.6281062069	0.3508405965
213	0.6286248254	0.3505958816
214	0.6287347244	0.3505440028
215	0.6287502632	0.350536667
216	0.6287667465	0.350528885
217	0.62880987	0.3505085253
218	0.6288522454	0.3504885175
219	0.6289781859	0.3504290473
220	0.6289918321	0.3504226028
221	0.6290938327	0.350374429
222	0.6292061303	0.3503213844
223	0.6292170682	0.3503162173
224	0.6298665063	0.3500092879
225	0.629935718	0.349976562
226	0.6303954925	0.3497590859
227	0.6305092609	0.3497052518
228	0.6310462968	0.3494510201
229	0.6314657718	0.3492523127
230	0.6315355003	0.349219271
231	0.6317760898	0.3491052407
232	0.631836289	0.3490767028
233	0.6320504898	0.3489751401
234	0.6321192706	0.3489425216
235	0.6322531105	0.3488790409
236	0.6323189827	0.3488477932
237	0.6323902604	0.3488139782
238	0.6327635119	0.3486368496
239	0.6329178077	0.3485636013
240	0.6334444866	0.3483134571
241	0.6335401236	0.3482680154
242	0.6336388229	0.3482211124
243	0.6341951679	0.3479566129
244	0.6341958327	0.3479562967
245	0.6353624285	0.3474010153
246	0.6354313578	0.3473681783
247	0.6354740542	0.3473478367
248	0.6357746632	0.3472045857
249	0.635859117	0.3471643298
250	0.6359415053	0.3471250539
251	0.6359948788	0.3470996075
252	0.6364565526	0.3468794215
253	0.6366319241	0.346795745
254	0.6366466278	0.3467887284
255	0.6371923243	0.346528221
256	0.6374291357	0.3464151098
257	0.6374516383	0.3464043596
258	0.6376559286	0.3463067492
259	0.6377282217	0.3462722008
260	0.6378873752	0.3461961301
261	0.6379311535	0.3461752025
262	0.6379885716	0.3461477526
263	0.6380608735	0.3461131841
264	0.6384362732	0.3459336449
265	0.6387542033	0.3457815183
266	0.6387815396	0.345768435
267	0.6388166011	0.3457516537
268	0.6392998021	0.3455202983
269	0.6397520732	0.3453036116
270	0.639906448	0.3452296183
271	0.6399869137	0.345191044
272	0.6402734519	0.3450536461
273	0.6414183283	0.3445041195
274	0.6414406053	0.3444934181
275	0.6415201099	0.3444552231
276	0.6415646225	0.3444338369
277	0.6416251609	0.3444047489
278	0.6419378235	0.3442544789
279	0.6424676674	0.3439996787
280	0.6426545917	0.3439097423
281	0.6427189209	0.3438787856
282	0.6427723058	0.3438530935
283	0.6428892239	0.3437968186
284	0.6431038386	0.3436934964
285	0.6431553583	0.3436686885
286	0.6433009587	0.3435985692
287	0.6433729832	0.3435638778
288	0.6437843018	0.3433656946
289	0.6443284687	0.343103326
290	0.6445937058	0.3429753699
291	0.6446539784	0.3429462864
292	0.6446644918	0.3429412131
293	0.6449553265	0.3428008392
294	0.6454114926	0.3425805509
295	0.6460036558	0.3422943765
296	0.6463155524	0.3421435501
297	0.6463741351	0.3421152133
298	0.6463862967	0.3421093304
299	0.6465223741	0.3420434989
300	0.6465953662	0.3420081816
301	0.6468770839	0.341871838
302	0.6469282764	0.3418470563
303	0.6471972851	0.3417168033
304	0.6473278664	0.3416535583
305	0.6476588983	0.341493176
306	0.6477339339	0.3414568114
307	0.6480081833	0.3413238684
308	0.6481350648	0.3412623449
309	0.6482463375	0.3412083807
310	0.6483808684	0.3411431256
311	0.6485067513	0.3410820539
312	0.6487547945	0.3409616846
313	0.6491446084	0.3407724315
314	0.6495870637	0.3405574937
315	0.6497848749	0.3404613563
316	0.6500317863	0.3403413178
317	0.6503406162	0.3401911173
318	0.6504117652	0.3401565044
319	0.6505461021	0.3400911418
320	0.6506596343	0.3400358921
321	0.650777282	0.3399786302
322	0.651667312	0.3395451186
323	0.6519651979	0.339399902
324	0.6520793224	0.339344251
325	0.6522867495	0.3392430789
326	0.6530856619	0.3388531292
327	0.6532315375	0.3387818788
328	0.6532842185	0.338756144
329	0.6536057338	0.3385990404
330	0.6541658564	0.3383251708
331	0.6542905749	0.3382641601
332	0.6544000117	0.3382106159
333	0.6546929714	0.3380672375
334	0.6549691146	0.3379320338
335	0.6552770832	0.3377811839
336	0.6554216142	0.3377103662
337	0.6559270047	0.3374626167
338	0.6564443285	0.3372088289
339	0.6567421982	0.3370626137
340	0.6568569708	0.3370062585
341	0.6576274118	0.3366277146
342	0.6578961632	0.3364955677
343	0.6585554901	0.3361711522
344	0.6585677104	0.3361651364
345	0.6586993579	0.3361003219
346	0.6587080729	0.3360960307
347	0.6592618348	0.3358232543
348	0.6596111825	0.3356510559
349	0.6596518637	0.3356309979
350	0.6596878195	0.3356132687
351	0.6600433715	0.3354379015
352	0.6603247005	0.335299078
353	0.6607708322	0.3350788137
354	0.6608529023	0.3350382782
355	0.6610497239	0.3349410456
356	0.6613611387	0.3347871446
357	0.6615298224	0.3347037516
358	0.6617651896	0.3345873573
359	0.6618370743	0.3345518007
360	0.6620611763	0.3344409279
361	0.6624122963	0.3342671399
362	0.6625319687	0.334207887
363	0.6629067927	0.334022234
364	0.6632785237	0.3338380109
365	0.6633819348	0.3337867442
366	0.6635109456	0.3337227753
367	0.6637444285	0.3336069734
368	0.6640078565	0.3334762713
369	0.6645092848	0.3332273416
370	0.6648600075	0.3330531178
371	0.6650384043	0.332964463
372	0.6653343222	0.3328173537
373	0.6655918529	0.3326892749
374	0.6657619292	0.3326046631
375	0.6661512263	0.3324109093
376	0.6664350181	0.3322695945
377	0.6665267527	0.3322239022
378	0.6666339315	0.3321705093
379	0.6667116707	0.3321317768
380	0.6668157152	0.332079931
381	0.667074163	0.3319511105
382	0.6673584113	0.3318093722
383	0.6674311448	0.3317730944
384	0.6675101495	0.3317336842
385	0.6679268544	0.3315257405
386	0.6681830843	0.331397812
387	0.6683116934	0.3313335825
388	0.6685307238	0.3312241663
389	0.6687707478	0.3311042214
390	0.6694647615	0.3307571636
391	0.6699013938	0.3305386287
392	0.6700271573	0.3304756571
393	0.6703634361	0.3303072186
394	0.6705872233	0.3301950783
395	0.6709096147	0.3300334602
396	0.6709754514	0.3300004459
397	0.6711778135	0.3298989491
398	0.6712210021	0.3298772834
399	0.6715755081	0.3296993903
400	0.6718295901	0.3295718315
401	0.6722363969	0.3293674961
402	0.6726241224	0.329172627
403	0.6728490632	0.32905952
404	0.6731825836	0.3288917441
405	0.6736578348	0.3286525233
406	0.6738838732	0.3285386842
407	0.6739577253	0.3285014818
408	0.6742853709	0.3283363818
409	0.6747135368	0.3281205048
410	0.6749499725	0.3280012352
411	0.6750313554	0.3279601718
412	0.6750932865	0.3279289197
413	0.6754805841	0.3277334113
414	0.6758665365	0.3275384659
415	0.6761597474	0.3273902869
416	0.6762115621	0.3273640945
417	0.6763988799	0.3272693876
418	0.6768755573	0.3270282583
419	0.6773299308	0.3267982459
420	0.677435617	0.3267447224
421	0.6775401618	0.3266917683
422	0.677636916	0.3266427526
423	0.6777192309	0.3266010461
424	0.6780335545	0.3264417386
425	0.6782269399	0.3263436872
426	0.678392651	0.3262596439
427	0.6789141301	0.3259950252
428	0.6790319474	0.3259352104
429	0.6795054301	0.3256947166
430	0.6797818949	0.325554211
431	0.6799625776	0.3254623513
432	0.6801638829	0.3253599764
433	0.6802122547	0.3253353718
434	0.680580929	0.3251477828
435	0.6807268568	0.3250735018
436	0.6807946738	0.3250389754
437	0.680925458	0.3249723814
438	0.6812245575	0.3248200317
439	0.6812660162	0.3247989085
440	0.6816204633	0.3246182625
441	0.6818533704	0.3244995053
442	0.6822665852	0.3242887038
443	0.682298385	0.3242724755
444	0.6825557735	0.3241410929
445	0.6827687984	0.3240323152
446	0.6829460089	0.3239417977
447	0.6831464579	0.3238393797
448	0.6833207106	0.3237503202
449	0.6841072022	0.3233480438
450	0.6847228758	0.3230327882
451	0.6853859232	0.3226929304
452	0.6857182346	0.322522463
453	0.6857658962	0.3224980064
454	0.6865246119	0.3221084367
455	0.6869062084	0.3219123242
456	0.6870592401	0.3218336436
457	0.6871201206	0.3218023368
458	0.6873394601	0.3216895198
459	0.6876757007	0.321516498
460	0.6880746539	0.3213110849
461	0.6884389156	0.321123419
462	0.6889477211	0.320861101
463	0.6889894821	0.3208395613
464	0.6890337218	0.3208167416
465	0.6892596549	0.3207001755
466	0.6896667035	0.320490059
467	0.6898172471	0.3204123142
468	0.6899220065	0.3203582025
469	0.6900095774	0.3203129622
470	0.6901384688	0.3202463636
471	0.6903891502	0.3201167959
472	0.6904405501	0.3200902229
473	0.6905467448	0.3200353145
474	0.6910654407	0.3197669854
475	0.6917633578	0.3194055868
476	0.6918101703	0.3193813315
477	0.6919195178	0.3193246673
478	0.6921325022	0.3192142693
479	0.6924492336	0.3190500246
480	0.6924756721	0.3190363108
481	0.6927620254	0.3188877398
482	0.6928594628	0.3188371699
483	0.6930063547	0.3187609178
484	0.6932095848	0.3186553903
485	0.69392042	0.318286013
486	0.6942439313	0.3181177621
487	0.6946567408	0.3179029398
488	0.6950445098	0.3177010162
489	0.6953652993	0.3175338738
490	0.695607935	0.3174073938
491	0.6958885162	0.3172610709
492	0.6959524308	0.31722773
493	0.6960728795	0.3171648888
494	0.6963226909	0.3170345159
495	0.6964616509	0.3169619715
496	0.6965810962	0.3168996016
497	0.6968192734	0.3167751975
498	0.6971017637	0.3166275847
499	0.6971486157	0.3166030959
500	0.6972301621	0.3165604684
501	0.6979171298	0.3162011355
502	0.6981234649	0.3160931278
503	0.6983853619	0.3159559827
504	0.6986608752	0.3158116429
505	0.6989333716	0.3156688188
506	0.6995700963	0.3153348387
507	0.6998845752	0.3151697551
508	0.6999924792	0.3151130917
509	0.7003026445	0.3149501584
510	0.7003870392	0.3149058103
511	0.7006370446	0.3147743998
512	0.7008491789	0.3146628525
513	0.700918219	0.3146265403
514	0.7009609471	0.3146040651
515	0.7012571721	0.3144482047
516	0.7014313711	0.3143565129
517	0.7015179682	0.3143109215
518	0.7017739444	0.3141761171
519	0.7018380701	0.3141423376
520	0.7024681306	0.3138102473
521	0.7026310908	0.3137242976
522	0.7027531822	0.3136598877
523	0.7032239796	0.3134113926
524	0.7034608088	0.3132863155
525	0.7036306482	0.313196587
526	0.7039709265	0.3130167361
527	0.7040782421	0.312959994
528	0.7041996635	0.3128957812
529	0.7047951161	0.3125806895
530	0.704815976	0.3125696454
531	0.7052713588	0.3123284505
532	0.7054345242	0.3122419841
533	0.7057876937	0.3120547466
534	0.7059029539	0.3119936155
535	0.706123647	0.3118765322
536	0.7063096326	0.3117778278
537	0.7063788308	0.3117410957
538	0.7064182252	0.3117201823
539	0.7066367017	0.3116041733
540	0.7068466956	0.3114926279
541	0.7070685436	0.3113747423
542	0.7072207068	0.31129386
543	0.7076097082	0.3110869908
544	0.7076517415	0.3110646295
545	0.7078252645	0.3109722998
546	0.7080819814	0.3108356532
547	0.7082374871	0.3107528505
548	0.70837059	0.3106819592
549	0.7086919187	0.3105107513
550	0.7088481353	0.310427483
551	0.7092445424	0.3102160855
552	0.7093650126	0.3101518121
553	0.7097503202	0.309946153
554	0.7098774192	0.3098782836
555	0.7100821795	0.3097689126
556	0.7102080844	0.3097016424
557	0.7105041394	0.3095434045
558	0.7110180599	0.3092685277
559	0.7111459419	0.3092000905
560	0.7114171423	0.3090549049
561	0.7115524096	0.3089824648
562	0.7116008193	0.3089565358
563	0.7121156641	0.3086806409
564	0.7121437424	0.3086655872
565	0.7123406104	0.3085600193
566	0.7124263631	0.3085140242
567	0.7125496876	0.3084478648
568	0.7125978737	0.3084220107
569	0.7127113714	0.3083611053
570	0.7128183924	0.3083036645
571	0.7129366738	0.3082401675
572	0.7132880759	0.3080514471
573	0.7135309638	0.3079209367
574	0.7140460895	0.3076439619
575	0.71414197	0.307592381
576	0.714232979	0.3075434128
577	0.7143439017	0.3074837193
578	0.7144490642	0.307427115
579	0.7147496906	0.3072652437
580	0.7148040317	0.3072359747
581	0.7150469618	0.307105095
582	0.7152380294	0.3070021172
583	0.715268151	0.3069858797
584	0.7155015768	0.306860019
585	0.7160771005	0.3065494819
586	0.7161669658	0.3065009646
587	0.716198912	0.3064837153
588	0.7163657675	0.3063936064
589	0.7166107084	0.3062612801
590	0.7166784054	0.3062246976
591	0.7168897344	0.3061104701
592	0.7169377449	0.3060845135
593	0.7170955629	0.3059991747
594	0.7172866244	0.3058958279
595	0.7173759853	0.3058474799
596	0.7173922646	0.3058386712
597	0.7178940866	0.3055670142
598	0.7180614898	0.3054763382
599	0.7182076413	0.3053971514
600	0.7183463052	0.3053220025
601	0.718714765	0.3051222258
602	0.7188664979	0.3050399191
603	0.7190505626	0.3049400443
604	0.7191705155	0.3048749394
605	0.7193437256	0.3047809045
606	0.7194583942	0.3047186355
607	0.7196399208	0.3046200343
608	0.7199419652	0.3044558997
609	0.7202141662	0.3043079066
610	0.7204880376	0.3041589326
611	0.7205648024	0.3041171628
612	0.7211878469	0.3037779352
613	0.7217652295	0.3034632305
614	0.7217966699	0.3034460844
615	0.7218929406	0.3033935769
616	0.7224396349	0.3030952293
617	0.7224744366	0.3030762271
618	0.7226158499	0.3029990009
619	0.7226856727	0.3029608632
620	0.722824662	0.3028849321
621	0.7230395957	0.3027674743
622	0.7231297049	0.3027182175
623	0.7233066844	0.3026214511
624	0.7234545349	0.3025405877
625	0.723635507	0.3024415798
626	0.7239851707	0.3022501907
627	0.7242022374	0.3021313179
628	0.7242465051	0.3021070696
629	0.7242883908	0.3020841244
630	0.7243446617	0.3020532962
631	0.7246276515	0.3018982113
632	0.7251392551	0.3016176385
633	0.7252367883	0.3015641198
634	0.725262898	0.3015497912
635	0.7255455263	0.3013946457
636	0.7255675311	0.3013825631
637	0.7257737419	0.3012693112
638	0.7262215487	0.3010232269
639	0.7268675454	0.300667876
640	0.726973357	0.3006096308
641	0.7271320569	0.3005222517
642	0.7272800941	0.3004407205
643	0.7278587032	0.3001218402
644	0.7280666571	0.3000071508
645	0.7282385725	0.2999123041
646	0.728363439	0.2998433956
647	0.7284082112	0.2998186839
648	0.728574844	0.2997266942
649	0.7285954565	0.2997153131
650	0.7287697037	0.299619086
651	0.7290218404	0.2994797901
652	0.7290896318	0.2994423269
653	0.7291131683	0.299429319
654	0.7292792811	0.2993374971
655	0.7294888429	0.2992216178
656	0.7297527296	0.2990756351
657	0.7299812674	0.29894915
658	0.7302062176	0.2988245981
659	0.7302428718	0.2988042983
660	0.7303557491	0.2987417758
661	0.730566036	0.2986252636
662	0.7305952464	0.2986090755
663	0.7306625311	0.2985717839
664	0.7307465111	0.2985252326
665	0.7310092136	0.298379566
666	0.7312532205	0.2982442023
667	0.7313061801	0.2982148147
668	0.7313192299	0.2982075728
669	0.7313481341	0.2981915321
670	0.7317918418	0.2979451824
671	0.7320128513	0.2978224004
672	0.7321989119	0.297718995
673	0.7324704172	0.2975680382
674	0.7325540862	0.2975215029
675	0.7328065444	0.2973810456
676	0.7330961187	0.2972198566
677	0.7332030134	0.2971603325
678	0.7333670803	0.2970689491
679	0.7334689287	0.2970122065
680	0.7335345577	0.296975637
681	0.7336204038	0.2969277954
682	0.7336588788	0.296906351
683	0.73392525	0.2967578439
684	0.7340376707	0.2966951449
685	0.7341626417	0.2966254308
686	0.7343324706	0.2965306668
687	0.7343640441	0.2965130456
688	0.7343885413	0.2964993729
689	0.7344595933	0.2964597129
690	0.7346337719	0.2963624671
691	0.7348774764	0.2962263505
692	0.735157319	0.2960699726
693	0.7354309506	0.2959169855
694	0.7355175449	0.2958685542
695	0.7355619049	0.2958437411
696	0.7356963486	0.2957685262
697	0.7358360844	0.2956903302
698	0.7359331922	0.2956359767
699	0.7360836179	0.2955517602
700	0.7362664964	0.2954493425
701	0.7363723186	0.2953900625
702	0.7364857799	0.29532649
703	0.7365377876	0.2952973454
704	0.7366081375	0.2952579175
705	0.7367508451	0.2951779203
706	0.736798247	0.2951513435
707	0.7369957065	0.2950406083
708	0.7372817699	0.2948801105
709	0.737557842	0.2947251353
710	0.7378174248	0.2945793423
711	0.7379369647	0.2945121791
712	0.738201517	0.2943634868
713	0.7382461537	0.2943383912
714	0.7385301133	0.2941786936
715	0.7387009284	0.2940825862
716	0.7388090543	0.294021734
717	0.7389267574	0.2939554776
718	0.7391210138	0.2938460957
719	0.7392649429	0.2937650259
720	0.7395781363	0.2935885385
721	0.7398025315	0.2934620244
722	0.7398863571	0.2934147495
723	0.7400150886	0.2933421344
724	0.7403729111	0.2931401985
725	0.7407529452	0.2929255751
726	0.7407970225	0.2929006724
727	0.7410282509	0.2927699987
728	0.7412336494	0.2926538731
729	0.7414088456	0.2925547866
730	0.7416267904	0.2924314757
731	0.7418226375	0.292320623
732	0.7421160196	0.2921544852
733	0.7425994313	0.2918805303
734	0.7428951142	0.2917128367
735	0.7430576362	0.2916206229
736	0.7431307772	0.2915791137
737	0.7433040207	0.2914807704
738	0.7435772167	0.2913256208
739	0.7436503541	0.2912840716
740	0.743751136	0.291226808
741	0.7437936182	0.2912026665
742	0.744001117	0.2910847216
743	0.7441042646	0.2910260735
744	0.7441396397	0.291005957
745	0.744193823	0.2909751423
746	0.7443190244	0.2909039264
747	0.7443699726	0.2908749415
748	0.7445771649	0.2907570382
749	0.7447190568	0.2906762666
750	0.7448374732	0.2906088412
751	0.7451590136	0.2904256797
752	0.7452322288	0.2903839574
753	0.7453757201	0.2903021702
754	0.745511566	0.2902247196
755	0.7459997197	0.2899462349
756	0.7460978898	0.289890198
757	0.7463210621	0.2897627676
758	0.7463741297	0.289732458
759	0.746419573	0.2897065005
760	0.7465165991	0.2896510708
761	0.746571927	0.2896194579
762	0.7466928549	0.289550351
763	0.7469154429	0.2894231051
764	0.7469871428	0.2893821048
765	0.7472234227	0.2892469513
766	0.7472375403	0.289238874
767	0.7475488087	0.2890607252
768	0.7477263158	0.2889590831
769	0.7479686584	0.2888202578
770	0.7483051545	0.2886273863
771	0.7483890301	0.2885792907
772	0.7486006645	0.2884579006
773	0.7486592862	0.2884242671
774	0.7489785216	0.2882410408
775	0.7491293983	0.2881544039
776	0.7492562772	0.288081527
777	0.7492798278	0.288067998
778	0.7493393745	0.2880337875
779	0.7494980707	0.2879425943
780	0.7497154703	0.2878176208
781	0.7498831537	0.2877211899
782	0.7499671569	0.2876728695
783	0.750144136	0.2875710406
784	0.7502772635	0.287494419
785	0.7506002542	0.2873084366
786	0.7509328587	0.2871167925
787	0.7509972859	0.2870796553
788	0.7510289632	0.2870613941
789	0.7510923956	0.2870248232
790	0.7512911997	0.2869101761
791	0.7513945765	0.2868505422
792	0.7515916653	0.2867368153
793	0.7517066431	0.2866704484
794	0.7517318832	0.2866558774
795	0.7520384689	0.2864788274
796	0.7523072951	0.286323493
797	0.7523602778	0.2862928684
798	0.7524023265	0.2862685614
799	0.752546807	0.2861850261
800	0.7527638851	0.2860594708
801	0.7527786218	0.2860509453
802	0.7528000362	0.2860385561
803	0.7528913671	0.2859857111
804	0.7529978282	0.2859240993
805	0.753274708	0.2857637994
806	0.7533339219	0.2857295058
807	0.7534312985	0.2856731014
808	0.753781368	0.2854702351
809	0.7540136998	0.2853355185
810	0.7543212394	0.2851570951
811	0.7543743987	0.2851262427
812	0.754458906	0.2850771898
813	0.7545758113	0.2850093172
814	0.7547471826	0.2849097937
815	0.754776224	0.2848929245
816	0.755125693	0.2846898514
817	0.7552051999	0.2846436304
818	0.755418755	0.284519444
819	0.7558316648	0.2842791752
820	0.7559171886	0.2842293842
821	0.7561351245	0.284102465
822	0.7564540335	0.2839166398
823	0.7567128656	0.2837657313
824	0.756741807	0.2837488525
825	0.7568664733	0.2836761346
826	0.7570481542	0.2835701266
827	0.757205434	0.2834783244
828	0.7573960824	0.2833670054
829	0.7576456658	0.2832212082
830	0.7577261541	0.283174174
831	0.757811664	0.2831241969
832	0.75783689	0.2831094515
833	0.758091268	0.2829607176
834	0.7581859881	0.2829053151
835	0.7582705369	0.2828558527
836	0.7583492853	0.2828097759
837	0.7584945597	0.282724754
838	0.758813527	0.2825379886
839	0.7589215218	0.2824747262
840	0.7591263288	0.2823547132
841	0.7591866313	0.2823193674
842	0.7592303506	0.2822937389
843	0.7593436954	0.2822272847
844	0.759366102	0.2822141459
845	0.759425003	0.2821796043
846	0.7595455484	0.2821088993
847	0.7597320217	0.2819994899
848	0.7598858367	0.2819092101
849	0.7599309989	0.2818826972
850	0.7601302579	0.2817656906
851	0.7601932706	0.2817286789
852	0.7602799842	0.281677738
853	0.7604230285	0.281593685
854	0.7604570733	0.2815736764
855	0.7605540048	0.2815167011
856	0.7607013699	0.2814300591
857	0.7610055171	0.2812511542
858	0.7613523138	0.2810470232
859	0.7613822497	0.2810293954
860	0.7614024041	0.2810175269
861	0.7614545442	0.2809868202
862	0.7614718806	0.2809766096
863	0.7614911506	0.2809652597
864	0.7617610621	0.2808062358
865	0.7617770532	0.2807968115
866	0.7618524095	0.2807523962
867	0.7619000164	0.2807243329
868	0.7620106201	0.2806591234
869	0.7620652827	0.2806268899
870	0.7622925056	0.2804928614
871	0.7623772148	0.2804428789
872	0.7626738125	0.2802678016
873	0.7627269524	0.2802364224
874	0.7629011216	0.2801335504
875	0.7631226451	0.2800026542
876	0.7633028317	0.2798961385
877	0.7634471244	0.2798108119
878	0.763727882	0.279644713
879	0.7638011533	0.2796013488
880	0.7638716168	0.2795596399
881	0.7640305096	0.2794655651
882	0.7640700548	0.2794421468
883	0.7642110374	0.2793586425
884	0.7642870238	0.2793136251
